Series,Series_index,Subject,A*,A or above,B or above,C or above,D or above,E or above,AS A-E grades,ungraded
2017 November,11,Economics,3.6,12.4,25.6,41.1,60.2,76.7,5.8,17.5
2017 November,12,English Language,0.4,5.4,17.9,37.8,61.6,78.1,4.4,17.5
2017 November,13,Food Studies,3.7,8.8,22.7,45.8,75.0,92.1,0.0,7.9
2017 November,14,French,4.0,18.4,40.8,62.4,77.6,88.0,7.2,4.8
2017 November,15,Further Mathematics,14.6,38.6,60.6,71.4,80.0,87.4,0.0,12.6
2017 November,16,Geography,2.9,8.0,21.4,36.8,61.2,78.9,6.6,14.5
2017 November,17,Hindi,2.0,8.4,23.4,52.1,74.9,87.8,11.6,0.6
2017 November,18,Hinduism,1.2,3.3,13.5,45.3,71.8,87.5,0.0,12.5
2017 November,19,History,3.7,13.5,33.2,56.7,78.6,90.7,2.1,7.2
2017 November,20,Islamic Studies,1.3,4.8,19.2,41.6,65.6,84.8,0.0,15.2
2017 November,21,Law,1.9,6.8,13.6,25.3,42.0,57.3,4.7,38.0
2017 November,22,Literature in English,3.0,9.8,21.9,39.3,60.0,82.0,1.6,16.4
2017 November,23,Mathematics,8.4,22.6,36.8,54.8,70.9,84.0,5.7,10.3
2017 November,24,Physical Education,2.0,7.3,17.3,40.0,65.3,86.0,6.7,7.3
2017 November,25,Physics,11.5,23.4,37.8,52.7,67.8,82.1,4.8,13.1
2017 November,26,Psychology,1.7,8.2,24.2,45.0,65.2,79.2,5.6,15.2
2017 November,27,Sociology,2.2,5.9,11.2,25.0,43.1,62.2,13.7,24.1
2017 November,28,Spanish,19.1,70.7,91.7,98.1,99.1,99.4,0.6,0.0
2017 November,30,Tamil,17.6,55.6,81.7,92.2,96.1,98.7,0.6,0.7
2017 November,31,Thinking Skills,1.8,4.3,10.4,26.4,44.8,66.9,7.9,25.2
2017 November,32,Travel and Tourism,0.0,0.4,2.8,16.2,43.4,69.6,10.7,19.7
2017 November,33,Urdu,2.4,30.7,76.4,92.0,96.8,98.7,1.2,0.1
2021 March,0,Accounting,17.6,28.6,40.4,54.0,71.2,84.5,1.2,14.3
2021 March,1,Biology,7.9,26.4,40.3,57.2,73.1,86.6,2.2,11.2
2021 March,2,Business,10.2,22.0,37.5,59.0,76.7,88.7,1.4,9.9
2021 March,3,Chemistry,15.7,29.3,47.2,58.7,72.6,83.5,4.4,12.1
2021 March,4,Economics,16.0,34.2,54.2,75.2,88.2,95.9,0.6,3.5
2021 March,5,Information Technology,3.8,11.0,19.5,39.4,59.3,79.2,2.2,18.6
2021 March,6,Mathematics,13.5,33.3,54.6,72.7,84.9,93.6,1.8,4.6
2021 March,7,Physics,15.5,27.7,40.7,56.7,71.3,85.1,3.5,11.4
2021 March,8,Psychology,4.2,13.6,31.7,50.3,66.4,83.1,4.7,12.2
2021 March,9,Sociology,3.3,17.4,33.1,52.9,71.9,87.6,0.0,12.4
